ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,7011782,Children with any anemia,59.6,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_ANY,104466010,I,360001,1360010,Region,Barishal,0,,0,1,CNANMCCANY,BDDHS2011360001,2011,DHS,136,275,,,1
BGD,Chattogram/Sylhet,6245757,Children with any anemia,51,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_ANY,104466010,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CNANMCCANY,BDDHS2011360002,2011,DHS,694,835,,,
BGD,Chattogram,31959,Children with any anemia,51.6,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_ANY,104466010,I,360003,1360030,Region,..Chattogram,0,,0,1,CNANMCCANY,BDDHS2011360003,2011,DHS,509,444,,,1
BGD,Sylhet,7347365,Children with any anemia,49.5,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_ANY,104466010,I,360004,1360040,Region,..Sylhet,0,,0,1,CNANMCCANY,BDDHS2011360004,2011,DHS,185,391,,,1
BGD,Dhaka before 2015,1304353,Children with any anemia,47.7,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_ANY,104466010,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,CNANMCCANY,BDDHS2011360005,2011,DHS,738,390,,,1
BGD,Khulna,455873,Children with any anemia,54.2,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_ANY,104466010,I,360006,1360060,Region,Khulna,0,,0,1,CNANMCCANY,BDDHS2011360006,2011,DHS,225,263,,,1
BGD,Rajshahi/Rangpur,816549,Children with any anemia,53.3,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_ANY,104466010,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,CNANMCCANY,BDDHS2011360007,2011,DHS,560,598,,,
BGD,Rangpur,2808953,Children with any anemia,57.7,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_ANY,104466010,I,360008,1360080,Region,..Rangpur,0,,0,1,CNANMCCANY,BDDHS2011360008,2011,DHS,268,311,,,1
BGD,Rajshahi,5860115,Children with any anemia,49.3,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_ANY,104466010,I,360009,1360090,Region,..Rajshahi,0,,0,1,CNANMCCANY,BDDHS2011360009,2011,DHS,293,287,,,1
BGD,Barishal,7011783,Children with mild anemia,32.1,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_MLD,104466020,I,360001,1360010,Region,Barishal,0,,0,1,CNANMCCMLD,BDDHS2011360001,2011,DHS,136,275,,,1
BGD,Chattogram/Sylhet,6245776,Children with mild anemia,27.5,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_MLD,104466020,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,CNANMCCMLD,BDDHS2011360002,2011,DHS,694,835,,,
BGD,Chattogram,31958,Children with mild anemia,27.6,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_MLD,104466020,I,360003,1360030,Region,..Chattogram,0,,0,1,CNANMCCMLD,BDDHS2011360003,2011,DHS,509,444,,,1
BGD,Sylhet,7347364,Children with mild anemia,27.2,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_MLD,104466020,I,360004,1360040,Region,..Sylhet,0,,0,1,CNANMCCMLD,BDDHS2011360004,2011,DHS,185,391,,,1
BGD,Dhaka before 2015,1304359,Children with mild anemia,27.4,1,BD,Bangladesh,2011,BD2011DHS,CN_ANMC_C_MLD,104466020,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,CNANMCCMLD,BDDHS2011360005,2011,DHS,738,390,,,1
