ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
BGD,Barishal,1816526,Total fertility rate 15-49,3.5,1,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_TFR,11763080,I,360001,1360010,Region,Barishal,0,,0,1,FEFRTRWTFR,BDDHS1994360001,1993-94,DHS,,,,,1
BGD,Chattogram/Sylhet,1803477,Total fertility rate 15-49,3.9,1,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_TFR,11763080,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,FEFRTRWTFR,BDDHS1994360002,1993-94,DHS,,,,,1
BGD,Chattogram,1810078,Total fertility rate 15-49,3.9,1,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_TFR,11763080,I,360003,1360030,Region,..Chattogram,0,,0,1,FEFRTRWTFR,BDDHS1994360003,1993-94,DHS,,,,,
BGD,Dhaka before 2015,1810059,Total fertility rate 15-49,3.4,1,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_TFR,11763080,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,FEFRTRWTFR,BDDHS1994360005,1993-94,DHS,,,,,1
BGD,Khulna,1810119,Total fertility rate 15-49,3,1,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_TFR,11763080,I,360006,1360060,Region,Khulna,0,,0,1,FEFRTRWTFR,BDDHS1994360006,1993-94,DHS,,,,,1
BGD,Rajshahi/Rangpur,6399873,Total fertility rate 15-49,3,1,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_TFR,11763080,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,FEFRTRWTFR,BDDHS1994360007,1993-94,DHS,,,,,1
BGD,Barishal,1816531,General fertility rate,135,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_GFR,11763100,I,360001,1360010,Region,Barishal,0,,0,1,FEFRTRWGFR,BDDHS1994360001,1993-94,DHS,,,,,1
BGD,Chattogram/Sylhet,1803482,General fertility rate,148,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_GFR,11763100,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,FEFRTRWGFR,BDDHS1994360002,1993-94,DHS,,,,,1
BGD,Chattogram,1810083,General fertility rate,148,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_GFR,11763100,I,360003,1360030,Region,..Chattogram,0,,0,1,FEFRTRWGFR,BDDHS1994360003,1993-94,DHS,,,,,
BGD,Dhaka before 2015,1810061,General fertility rate,138,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_GFR,11763100,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,FEFRTRWGFR,BDDHS1994360005,1993-94,DHS,,,,,1
BGD,Khulna,1810104,General fertility rate,120,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_GFR,11763100,I,360006,1360060,Region,Khulna,0,,0,1,FEFRTRWGFR,BDDHS1994360006,1993-94,DHS,,,,,1
BGD,Rajshahi/Rangpur,6399870,General fertility rate,125,0,BD,Bangladesh,1994,BD1994DHS,FE_FRTR_W_GFR,11763100,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,FEFRTRWGFR,BDDHS1994360007,1993-94,DHS,,,,,1
BGD,Barishal,1816577,Median age at first birth for women age 25-49,17.6,1,BD,Bangladesh,1994,BD1994DHS,FE_AAFB_W_M2B,12103080,I,360001,1360010,Region,Barishal,0,,0,1,FEAAFBWM2B,BDDHS1994360001,1993-94,DHS,,,,,1
BGD,Chattogram/Sylhet,1803628,Median age at first birth for women age 25-49,17.9,1,BD,Bangladesh,1994,BD1994DHS,FE_AAFB_W_M2B,12103080,I,360002,1360020,Region,Chattogram/Sylhet,0,,0,1,FEAAFBWM2B,BDDHS1994360002,1993-94,DHS,,,,,1
BGD,Chattogram,1810306,Median age at first birth for women age 25-49,17.9,1,BD,Bangladesh,1994,BD1994DHS,FE_AAFB_W_M2B,12103080,I,360003,1360030,Region,..Chattogram,0,,0,1,FEAAFBWM2B,BDDHS1994360003,1993-94,DHS,,,,,
BGD,Dhaka before 2015,1810185,Median age at first birth for women age 25-49,17.4,1,BD,Bangladesh,1994,BD1994DHS,FE_AAFB_W_M2B,12103080,I,360005,1360050,Region,Dhaka before 2015,0,,0,1,FEAAFBWM2B,BDDHS1994360005,1993-94,DHS,,,,,1
BGD,Khulna,1810235,Median age at first birth for women age 25-49,17.3,1,BD,Bangladesh,1994,BD1994DHS,FE_AAFB_W_M2B,12103080,I,360006,1360060,Region,Khulna,0,,0,1,FEAAFBWM2B,BDDHS1994360006,1993-94,DHS,,,,,1
BGD,Rajshahi/Rangpur,6399889,Median age at first birth for women age 25-49,17.2,1,BD,Bangladesh,1994,BD1994DHS,FE_AAFB_W_M2B,12103080,I,360007,1360070,Region,Rajshahi/Rangpur,0,,0,1,FEAAFBWM2B,BDDHS1994360007,1993-94,DHS,,,,,1
BGD,Barishal,4564579,Women who want no more children,62.3,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360001,1360010,Region,Barishal,1000,Total,0,1,PRDESLWWNM,BDDHS1994360001,1993-94,DHS,,931,,,1
BGD,Barishal,4044299,Women who want no more children,5.8,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360001,1360010,Region,Barishal,189000,Living children: 0,0,0,PRDESLWWNM,BDDHS1994360001,1993-94,DHS,,75,,,1
BGD,Barishal,1090526,Women who want no more children,11.3,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360001,1360010,Region,Barishal,189001,Living children: 1,0,0,PRDESLWWNM,BDDHS1994360001,1993-94,DHS,,170,,,1
BGD,Barishal,4869084,Women who want no more children,59.7,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360001,1360010,Region,Barishal,189002,Living children: 2,0,0,PRDESLWWNM,BDDHS1994360001,1993-94,DHS,,199,,,1
BGD,Barishal,4328950,Women who want no more children,82.7,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360001,1360010,Region,Barishal,189003,Living children: 3,0,0,PRDESLWWNM,BDDHS1994360001,1993-94,DHS,,170,,,1
BGD,Barishal,6184911,Women who want no more children,94.4,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360001,1360010,Region,Barishal,189004,Living children: 4,0,0,PRDESLWWNM,BDDHS1994360001,1993-94,DHS,,111,,,1
BGD,Barishal,5194728,Women who want no more children,93.1,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360001,1360010,Region,Barishal,189005,Living children: 5,0,0,PRDESLWWNM,BDDHS1994360001,1993-94,DHS,,106,,,1
BGD,Barishal,6837222,Women who want no more children,88.6,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360001,1360010,Region,Barishal,189006,Living children: 6+,0,0,PRDESLWWNM,BDDHS1994360001,1993-94,DHS,,100,,,1
BGD,Chattogram/Sylhet,4985616,Women who want no more children,53.3,1,BD,Bangladesh,1994,BD1994DHS,PR_DESL_W_WNM,22203010,I,360002,1360020,Region,Chattogram/Sylhet,1000,Total,0,1,PRDESLWWNM,BDDHS1994360002,1993-94,DHS,,1833,,,1
